rank,user,MA-RAE,R2,Spearman R,Kendall's Tau,submission time,model details
48,Roquentin99,0.70 +/- 0.03,0.39 +/- 0.04,0.69 +/- 0.02,0.52 +/- 0.02,2025-11-13 09:11:43+00:00,
49,fiesta_xxl,0.70 +/- 0.03,0.43 +/- 0.04,0.66 +/- 0.03,0.48 +/- 0.02,2025-10-29 23:05:12+00:00,
50,my-alaska,0.70 +/- 0.02,0.44 +/- 0.03,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-06 12:05:36+00:00,
51,Team AIDD,0.70 +/- 0.03,0.43 +/- 0.04,0.68 +/- 0.03,0.51 +/- 0.02,2025-11-12 10:28:55+00:00,
52,jonswain,0.70 +/- 0.03,0.40 +/- 0.04,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-06 05:24:42+00:00,https://github.com/jonswain/OpenADMET_ExpansionRx_Blind_Challenge
53,ebl88,0.70 +/- 0.03,0.43 +/- 0.04,0.76 +/- 0.02,0.58 +/- 0.02,2025-12-01 15:14:18+00:00,
54,molairity,0.70 +/- 0.03,0.41 +/- 0.04,0.68 +/- 0.03,0.50 +/- 0.02,2025-12-01 21:22:16+00:00,
55,bionic_beaver,0.71 +/- 0.03,0.43 +/- 0.04,0.69 +/- 0.03,0.51 +/- 0.02,2025-11-11 19:02:26+00:00,
56,leeherman,0.71 +/- 0.03,0.38 +/- 0.05,0.68 +/- 0.03,0.51 +/- 0.02,2025-11-16 14:19:58+00:00,
57,wikke69,0.71 +/- 0.03,0.37 +/- 0.05,0.66 +/- 0.03,0.50 +/- 0.02,2025-12-02 01:27:11+00:00,https://TBD
58,ch-pmlm,0.71 +/- 0.03,0.42 +/- 0.04,0.69 +/- 0.03,0.51 +/- 0.02,2025-11-07 17:42:14+00:00,
59,femisegvn,0.72 +/- 0.03,0.42 +/- 0.04,0.68 +/- 0.03,0.50 +/- 0.02,2025-12-01 23:59:17+00:00,
60,ChemTechBaron,0.72 +/- 0.03,0.35 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-11-14 15:57:47+00:00,
61,whitead,0.72 +/- 0.03,0.38 +/- 0.04,0.67 +/- 0.03,0.49 +/- 0.02,2025-11-15 06:08:40+00:00,
